model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Make
Superb,2017,18190,Semi-Auto,18333,Petrol,145,54.3,1.4,skoda
Tiguan,2019,28999,Semi-Auto,10598,Petrol,145,31,2,vw
I10,2019,10490,Manual,3052,Petrol,145,60.1,1,Hyundai
Fiesta,2018,11995,Manual,12906,Petrol,150,65.7,1,Ford
Mondeo,2018,13999,Automatic,32416,Diesel,145,45.6,2,Ford
2 Series,2015,15685,Semi-Auto,24862,Diesel,30,64.2,2,BMW
Fabia,2017,7340,Manual,20350,Petrol,20,58.8,1,skoda
A3,2017,17990,Manual,20477,Diesel,150,67.3,1.6,audi
Kuga,2018,15998,Manual,11460,Diesel,145,54.3,1.5,Ford
4 Series,2020,39250,Semi-Auto,151,Diesel,150,47.9,3,BMW
8 Series,2019,84898,Semi-Auto,3185,Petrol,145,24.4,4.4,BMW
Passat,2017,14242,Semi-Auto,33533,Diesel,30,62.8,2,vw
Q3,2019,38995,Automatic,4304,Diesel,145,37.7,2,audi
2 Series,2019,23950,Semi-Auto,4413,Diesel,145,46.3,2,BMW
Q5,2015,26276,Automatic,46085,Diesel,235,42.2,3,audi
Beetle,2009,5990,Manual,69000,Petrol,265,36.2,1.6,vw
Passat,2016,11995,Manual,51204,Diesel,20,68.9,1.6,vw
Kodiaq,2020,32999,Automatic,3589,Diesel,145,39.2,2,skoda
Focus,2018,17500,Manual,14008,Petrol,150,51.4,1.5,Ford
Kuga,2017,17131,Manual,13667,Diesel,145,60.1,2,Ford
Golf,2013,7499,Manual,70884,Diesel,0,68.9,1.6,vw
Fiesta,2016,8600,Manual,27769,Petrol,125,54.3,1.2,Ford
A1,2014,9290,Manual,42869,Petrol,30,55.4,1.2,audi
A3,2016,13995,Manual,40030,Diesel,0,83.1,1.6,audi
Fabia,2018,6490,Manual,11123,Petrol,150,57.7,1,skoda
Polo,2017,10995,Manual,13500,Petrol,20,60.1,1.2,vw
Fiesta,2018,10870,Manual,24841,Petrol,145,65.7,1,Ford
Tiguan,2018,19701,Semi-Auto,11301,Diesel,145,49.6,2,vw
Ka+,2019,11299,Manual,2516,Petrol,145,43.5,1.2,Ford
Golf,2019,16989,Manual,4758,Petrol,150,47.1,1.5,vw
Focus,2015,6995,Manual,77451,Diesel,20,67.3,1.6,Ford
C-HR,2017,21995,Automatic,8883,Hybrid,135,74.3,1.8,toyota
Tiguan,2019,31977,Automatic,10154,Petrol,145,35.3,2,vw
Golf,2014,12999,Manual,47023,Diesel,20,67.3,2,vw
Fiesta,2018,10456,Manual,25000,Petrol,145,65.7,1,Ford
A3,2019,33990,Automatic,6000,Petrol,145,33.2,2,audi
RAV4,2015,12711,Manual,56203,Diesel,150,53,2,toyota
Focus,2018,16799,Automatic,14196,Diesel,145,74.3,1.5,Ford
4 Series,2019,26490,Semi-Auto,1652,Petrol,145,45.6,2,BMW
X2,2019,30680,Automatic,1500,Diesel,145,58.9,2,BMW
Focus,2019,14995,Manual,6330,Petrol,145,60.1,1,Ford
Golf,2017,15098,Manual,46153,Diesel,20,67.3,2,vw
A4,2016,11295,Automatic,119880,Diesel,30,64.2,2,audi
Golf,2019,21995,Manual,1518,Petrol,145,45.6,1.5,vw
Q2,2019,21500,Manual,4050,Diesel,145,49.6,1.6,audi
Aygo,2017,7498,Manual,15261,Petrol,150,68.9,1,toyota
Passat,2019,32995,Semi-Auto,5022,Hybrid,135,41.5,1.4,vw
Q3,2019,31516,Automatic,9589,Petrol,145,32.1,2,audi
Fiesta,2016,8000,Manual,9349,Petrol,125,54.3,1.2,Ford
Focus,2019,21350,Automatic,2314,Petrol,145,39.2,1.5,Ford
Touareg,2019,39999,Automatic,11833,Diesel,145,34.5,3,vw
EcoSport,2019,16950,Automatic,1086,Petrol,145,44.1,1,Ford
Focus,2019,14498,Manual,13235,Petrol,145,58.9,1,Ford
Auris,2017,15694,Automatic,8613,Hybrid,135,78.5,1.8,toyota
CC,2017,15490,Semi-Auto,17955,Diesel,125,58.9,2,vw
EcoSport,2016,9498,Manual,24045,Petrol,125,53.3,1,Ford
Tucson,2016,11180,Manual,10906,Petrol,160,44.8,1.6,Hyundai
Verso,2017,15330,Automatic,10772,Petrol,150,42.8,1.8,toyota
Fabia,2018,8600,Manual,25217,Petrol,150,57.7,1,skoda
Shuttle,2018,19998,Manual,21226,Diesel,145,47.1,2,vw
3 Series,2019,29450,Automatic,123,Diesel,145,54.3,2,BMW
T-Cross,2019,17290,Manual,5560,Petrol,145,47.9,1,vw
1 Series,2018,17480,Manual,20376,Petrol,150,52.3,1.5,BMW
Superb,2016,12500,Manual,83000,Diesel,20,67.3,2,skoda
Kodiaq,2019,24995,Automatic,14413,Diesel,150,49.6,2,skoda
A3,2014,9795,Manual,91395,Diesel,20,68.9,2,audi
X3,2019,56000,Automatic,3771,Petrol,145,24.8,3,BMW
3 Series,2019,21590,Semi-Auto,23000,Petrol,150,44.8,2,BMW
Polo,2018,14488,Manual,6461,Petrol,145,60.1,1,vw
Polo,2017,11500,Manual,18000,Petrol,145,60.1,1.2,vw
Q5,2013,14750,Manual,63153,Diesel,200,47.9,2,audi
Polo,2016,8498,Manual,37763,Petrol,20,60.1,1.2,vw
TT,2019,28000,Semi-Auto,5799,Petrol,150,34.9,2,audi
T-Roc,2020,21250,Manual,999,Diesel,145,50.4,2,vw
Tucson,2019,15498,Manual,14231,Petrol,145,34.9,1.6,Hyundai
Fiesta,2015,6733,Manual,74133,Petrol,0,65.7,1,Ford
Corolla,2019,21494,Automatic,7792,Hybrid,135,78.5,1.8,toyota
A8,2018,39500,Automatic,1000,Diesel,145,50.4,3,audi
Amarok,2019,37999,Automatic,6542,Diesel,260,33.6,3,vw
Fiesta,2019,15299,Manual,6283,Petrol,145,60.1,1,Ford
Golf,2019,20998,Semi-Auto,50,Diesel,145,54.3,1.6,vw
B-MAX,2017,8995,Manual,22649,Petrol,30,55.4,1,Ford
1 Series,2017,13720,Manual,9617,Petrol,150,53.3,1.5,BMW
Focus,2016,8780,Manual,37460,Diesel,0,74.3,1.5,Ford
Citigo,2017,6595,Manual,25575,Petrol,0,67.3,1,skoda
Focus,2016,7890,Manual,36329,Diesel,0,74.3,1.5,Ford
Tucson,2019,15498,Manual,17865,Petrol,145,34.9,1.6,Hyundai
5 Series,2016,13000,Automatic,57784,Diesel,20,68.9,2,BMW
Touareg,2019,39923,Automatic,11385,Diesel,145,34,3,vw
A1,2019,22000,Semi-Auto,5000,Petrol,145,40.9,2,audi
Touran,2014,8995,Manual,47258,Diesel,125,61.4,1.6,vw
C-HR,2017,19490,Automatic,32900,Hybrid,0,74.3,1.8,toyota
Fiesta,2014,5599,Manual,75943,Petrol,30,54.3,1.2,Ford
Focus,2015,9999,Manual,29391,Diesel,0,74.3,1.5,Ford
Yaris,2017,9000,Manual,20421,Petrol,150,58.9,1.5,toyota
Kuga,2019,20400,Manual,1996,Diesel,145,47.9,2,Ford
Focus,2019,16995,Manual,8720,Diesel,145,80.7,1.5,Ford
A5,2020,30850,Semi-Auto,4500,Diesel,145,47.1,2,audi
Fiesta,2017,9530,Manual,3807,Petrol,145,54.3,1.2,Ford
Kona,2019,13990,Manual,15927,Petrol,145,44.1,1,Hyundai
Polo,2017,13000,Semi-Auto,3663,Petrol,20,60.1,1.2,vw
T-Roc,2020,31990,Semi-Auto,2214,Petrol,145,34.5,2,vw
Fabia,2015,7995,Manual,36612,Petrol,20,60.1,1.2,skoda
Kuga,2018,15000,Manual,18801,Petrol,150,45.6,1.5,Ford
Q3,2019,25750,Manual,5000,Petrol,145,40.9,1.5,audi
Scirocco,2011,8699,Manual,51206,Petrol,235,37.2,2,vw
2 Series,2019,22450,Automatic,11275,Hybrid,135,148.7,1.5,BMW
Avensis,2018,14495,Manual,31174,Diesel,145,61.4,2,toyota
Kuga,2017,15500,Manual,19027,Diesel,145,64.2,1.5,Ford
Verso,2013,8490,Manual,55965,Petrol,205,42.8,1.6,toyota
Golf,2019,17990,Manual,2229,Petrol,150,47.1,1.5,vw
1 Series,2013,8999,Manual,57000,Diesel,30,65.7,2,BMW
A3,2019,22950,Manual,6985,Diesel,145,51.4,1.6,audi
Yaris,2019,13500,Manual,2157,Petrol,145,47.9,1.5,toyota
3 Series,2019,30962,Semi-Auto,3523,Diesel,145,48.7,2,BMW
Arteon,2019,22499,Automatic,7273,Petrol,145,48.7,1.5,vw
GT86,2020,27998,Manual,516,Petrol,150,33.2,2,toyota
Citigo,2017,6999,Manual,24113,Petrol,20,64.2,1,skoda
Focus,2018,12995,Manual,10727,Petrol,150,57.7,1,Ford
Fabia,2018,8780,Manual,27288,Petrol,145,64.2,1,skoda
Golf,2019,19350,Semi-Auto,8552,Diesel,145,52.3,2,vw
A3,2019,22990,Semi-Auto,15202,Petrol,145,41.5,1.5,audi
Fiesta,2014,5995,Manual,64000,Petrol,30,54.3,1.2,Ford
1 Series,2012,7995,Manual,63635,Diesel,30,62.8,2,BMW
3 Series,2018,27490,Semi-Auto,12,Diesel,145,57.7,2,BMW
Aygo,2017,7995,Manual,17000,Petrol,145,68.9,1,toyota
A5,2016,23995,Automatic,19151,Petrol,260,35.8,3,audi
Fabia,2015,6490,Manual,29738,Petrol,20,60.1,1,skoda
Fabia,2018,8995,Manual,17896,Petrol,150,64.2,1,skoda
A3,2019,20000,Automatic,14337,Petrol,145,42.2,1.5,audi
Polo,2017,10120,Manual,9892,Petrol,145,58.9,1,vw
Fabia,2019,13940,Manual,3500,Petrol,145,50.4,1,skoda
I30,2014,6290,Manual,48130,Diesel,0,76.3,1.6,Hyundai
I10,2018,7495,Manual,10936,Petrol,145,60.1,1,Hyundai
Fiesta,2018,9400,Manual,30347,Petrol,145,64.2,1.1,Ford
Fiesta,2016,9281,Manual,43241,Petrol,20,62.8,1,Ford
Octavia,2019,15950,Semi-Auto,9758,Diesel,145,67.3,2,skoda
B-MAX,2017,10283,Manual,4880,Petrol,145,55.4,1,Ford
Q8,2019,51991,Semi-Auto,9089,Diesel,145,33.6,3,audi
Galaxy,2019,27853,Semi-Auto,4101,Diesel,145,54.3,2,Ford
1 Series,2017,12499,Automatic,27656,Diesel,145,72.4,1.5,BMW
X5,2011,10500,Automatic,87984,Diesel,305,38.2,3,BMW
C-HR,2019,22995,Manual,236,Petrol,145,41.5,1.2,toyota
4 Series,2017,22250,Semi-Auto,16613,Diesel,145,50.4,3,BMW
Focus,2016,11500,Manual,6071,Diesel,0,74.3,1.5,Ford
Octavia,2020,19750,Semi-Auto,2548,Diesel,145,53.3,2,skoda
Q5,2010,8685,Automatic,96618,Diesel,265,41.5,2,audi
Fiesta,2017,8998,Manual,10111,Petrol,125,54.3,1.2,Ford
Focus,2017,11700,Manual,18524,Petrol,20,60.1,1,Ford
Polo,2017,10600,Manual,20069,Petrol,20,58.9,1,vw
A3,2019,21491,Manual,4552,Diesel,145,51.4,1.6,audi
Kuga,2018,14500,Manual,28991,Diesel,145,64.2,1.5,Ford
Yaris,2017,13499,Automatic,10922,Hybrid,0,78,1.5,toyota
Tiguan,2018,19691,Manual,3403,Petrol,145,46.3,1.4,vw
A4,2016,12700,Manual,42166,Diesel,20,72.4,2,audi
Polo,2019,18990,Semi-Auto,5218,Petrol,145,39.8,2,vw
EcoSport,2017,9480,Manual,15258,Diesel,30,64.2,1.5,Ford
Q3,2017,20040,Semi-Auto,23166,Petrol,145,47.9,1.4,audi
2 Series,2019,24590,Semi-Auto,3300,Diesel,145,48.7,2,BMW
Tiguan,2016,13497,Manual,35413,Diesel,145,53.3,2,vw
Q3,2019,25990,Manual,7500,Diesel,145,42.8,2,audi
3 Series,2016,19895,Semi-Auto,26200,Diesel,165,51.4,3,BMW
Golf,2019,28289,Semi-Auto,8421,Petrol,145,32.8,2,vw
A3,2016,10099,Manual,70070,Diesel,0,74.3,1.6,audi
I20,2017,8500,Manual,19366,Petrol,150,55.4,1.2,Hyundai
Fabia,2016,7990,Manual,12250,Petrol,20,60.1,1.2,skoda
Yaris,2018,12690,Automatic,20357,Hybrid,140,76.3,1.5,toyota
X5,2015,22950,Automatic,80000,Diesel,200,47.1,3,BMW
Kuga,2017,16350,Manual,24008,Diesel,145,54.3,2,Ford
Yeti,2014,10995,Semi-Auto,12773,Petrol,165,44.8,1.2,skoda
Golf,2019,22990,Semi-Auto,11838,Diesel,145,49.6,2,vw
Fiesta,2018,10500,Manual,30125,Petrol,145,65.7,1,Ford
Yaris,2015,7495,Manual,36076,Petrol,0,66,1,toyota
A6,2019,42470,Automatic,515,Diesel,145,37.7,3,audi
X2,2019,25980,Semi-Auto,6521,Petrol,145,39.2,2,BMW
A4,2020,43395,Semi-Auto,8500,Diesel,145,40.4,3,audi
Aygo,2019,10195,Manual,2114,Petrol,145,57.7,1,toyota
X1,2019,25995,Manual,3150,Petrol,145,52.3,1.5,BMW
I10,2015,7750,Manual,6380,Petrol,30,57.6,1.2,Hyundai
X6,2020,65352,Semi-Auto,3158,Petrol,145,26.4,3,BMW
Polo,2016,9310,Manual,18263,Petrol,20,60.1,1.2,vw
Polo,2012,6899,Manual,41515,Petrol,145,47.9,1.4,vw
Aygo,2019,9995,Semi-Auto,3356,Petrol,150,55.4,1,toyota
Ka+,2018,9291,Manual,4191,Petrol,145,47.9,1.2,Ford
Up,2018,12990,Manual,16099,Petrol,150,50.4,1,vw
Mustang,2017,27500,Manual,20700,Petrol,150,20.9,5,Ford
Shuttle,2019,34950,Semi-Auto,10000,Diesel,150,32.8,2,vw
Grand C-MAX,2016,9799,Automatic,28407,Diesel,30,58.9,1.5,Ford
I10,2017,7495,Manual,32259,Petrol,145,57.7,1.2,Hyundai
Fabia,2020,13795,Manual,1000,Petrol,150,51.4,1,skoda
Kona,2018,18000,Semi-Auto,35401,Petrol,145,34,1.6,Hyundai
A3,2020,32495,Semi-Auto,7500,Hybrid,135,141.3,1.4,audi
B-MAX,2017,9895,Manual,10228,Petrol,30,57.7,1,Ford
Polo,2017,10650,Manual,32566,Diesel,145,83.1,1.4,vw
A4,2013,12880,Automatic,43000,Diesel,150,49.6,3,audi
Focus,2017,11001,Manual,26240,Petrol,145,60.1,1,Ford
Golf,2019,17298,Manual,7637,Petrol,145,47.1,1.5,vw
Fiesta,2017,10500,Manual,31779,Petrol,0,65.7,1,Ford
A6,2016,14990,Semi-Auto,76968,Diesel,30,61.4,2,audi
X1,2016,21892,Semi-Auto,18307,Petrol,165,44.8,2,BMW
Yeti Outdoor,2017,13500,Semi-Auto,46932,Petrol,150,51.4,1.2,skoda
T-Cross,2019,20490,Manual,5999,Petrol,145,47.9,1,vw
Fabia,2019,12250,Manual,3138,Petrol,145,61.4,1,skoda
Fiesta,2017,7430,Manual,12370,Petrol,125,54.3,1.2,Ford
A3,2019,20250,Semi-Auto,5789,Diesel,145,52.3,1.6,audi
Kuga,2019,17990,Manual,7038,Petrol,145,34.4,1.5,Ford
Golf,2018,23799,Automatic,8725,Petrol,145,37.7,2,vw
Kodiaq,2019,31001,Automatic,6069,Diesel,145,37.2,2,skoda
Fiesta,2018,10760,Manual,12849,Petrol,145,58.9,1,Ford
A6,2019,45485,Automatic,3241,Diesel,145,39.2,3,audi
2 Series,2016,13000,Manual,25525,Diesel,125,61.4,2,BMW
Golf SV,2019,17995,Manual,4671,Petrol,145,43.5,1.5,vw
Tourneo Custom,2019,24995,Manual,6375,Diesel,145,32.5,2,Ford
Focus,2016,15998,Manual,26950,Petrol,200,41.5,2,Ford
Auris,2016,13494,Automatic,26157,Hybrid,0,78.5,1.8,toyota
Aygo,2019,9850,Manual,4282,Petrol,145,57.7,1,toyota
Superb,2019,27990,Automatic,10,Petrol,145,38.2,2,skoda
IX20,2017,8495,Automatic,31100,Petrol,160,43.5,1.6,Hyundai
Fiesta,2019,16795,Manual,877,Petrol,145,55.4,1,Ford
Passat,2020,28500,Semi-Auto,2000,Diesel,145,52.3,2,vw
Q2,2019,27900,Manual,7392,Petrol,145,39.2,1.5,audi
Yaris,2017,12000,Automatic,12537,Petrol,150,60.1,1.5,toyota
EcoSport,2017,10000,Manual,24000,Petrol,125,52.3,1,Ford
Polo,2018,11899,Manual,10000,Petrol,150,64.2,1,vw
T-Roc,2020,20000,Manual,4444,Diesel,145,51.4,1.6,vw
Tiguan,2016,22980,Automatic,37854,Petrol,240,38.2,2,vw
A4,2019,24491,Automatic,2500,Petrol,145,39.2,2,audi
Focus,2018,13499,Manual,11524,Petrol,145,57.7,1,Ford
X3,2019,34000,Automatic,7465,Diesel,145,54.3,2,BMW
Tiguan,2018,25590,Automatic,14457,Diesel,145,49.6,2,vw
Focus,2018,14495,Manual,9321,Petrol,145,57.7,1,Ford
A5,2017,20995,Manual,12313,Diesel,30,64.2,2,audi
Ka+,2018,10995,Manual,5869,Diesel,145,56.5,1.5,Ford
Q2,2020,24950,Semi-Auto,789,Diesel,145,47.9,1.6,audi
Q5,2019,29996,Semi-Auto,3540,Diesel,145,39.2,2,audi
Focus,2017,10000,Manual,26828,Petrol,145,61.4,1,Ford
A4,2019,24199,Automatic,4035,Diesel,145,50.4,2,audi
Fiesta,2017,8790,Manual,19047,Petrol,0,65.7,1,Ford
IX20,2018,12150,Automatic,10166,Petrol,145,34.5,1.6,Hyundai
Kuga,2016,15400,Automatic,18000,Petrol,240,38.2,1.5,Ford
1 Series,2017,15495,Semi-Auto,6200,Petrol,145,55.5,1.5,BMW
A3,2019,23450,Manual,4705,Diesel,145,51.4,1.6,audi
Polo,2016,8991,Manual,40335,Petrol,20,60.1,1.2,vw
Focus,2016,9999,Manual,17907,Diesel,0,74.3,1.5,Ford
3 Series,2015,10000,Manual,85515,Diesel,20,68.9,2,BMW
T-Roc,2018,17899,Manual,11398,Petrol,145,53.3,1.5,vw
EcoSport,2019,16375,Manual,9391,Petrol,145,54.3,1,Ford
Polo,2019,11495,Manual,9551,Petrol,145,48.7,1,vw
Q2,2018,19000,Manual,10722,Diesel,145,61.4,1.6,audi
Yeti Outdoor,2017,14450,Automatic,37000,Diesel,165,51.4,2,skoda
Up,2020,10580,Manual,100,Petrol,145,54.3,1,vw
3 Series,2014,13995,Semi-Auto,67319,Diesel,30,62.8,2,BMW
Passat,2016,8695,Manual,86550,Diesel,20,68.9,2,vw
Citigo,2016,8000,Automatic,25376,Petrol,20,64.2,1,skoda
Focus,2017,14999,Semi-Auto,11882,Diesel,145,64.2,2,Ford
Z4,2020,31990,Semi-Auto,4825,Petrol,150,38.7,2,BMW
Fiesta,2018,13800,Semi-Auto,7325,Petrol,145,54.3,1,Ford
2 Series,2016,12250,Manual,20905,Petrol,125,52.3,1.5,BMW
Q5,2019,36991,Automatic,10,Diesel,145,38.2,2,audi
Octavia,2019,20500,Manual,3370,Petrol,150,42.8,2,skoda
X1,2019,24899,Manual,5322,Petrol,145,51.4,1.5,BMW
Ioniq,2018,17690,Automatic,15014,Hybrid,135,78.5,1.6,Hyundai
B-MAX,2015,7250,Semi-Auto,47360,Petrol,160,44.1,1.6,Ford
Octavia,2015,14577,Manual,30959,Diesel,30,62.8,2,skoda
Polo,2016,13700,Semi-Auto,26593,Petrol,125,50.4,1.8,vw
Focus,2017,26900,Manual,14929,Petrol,150,36.7,2.3,Ford
Passat,2019,28995,Semi-Auto,1614,Hybrid,135,43.5,1.4,vw
Kuga,2017,15500,Manual,13240,Diesel,150,60.1,2,Ford
Yaris,2017,12500,Automatic,27022,Hybrid,0,86,1.5,toyota
Ioniq,2018,17998,Automatic,4029,Hybrid,135,78.5,1.6,Hyundai
Tiguan,2016,16502,Manual,22868,Diesel,125,58.9,2,vw
Mondeo,2016,9499,Manual,61223,Diesel,0,78.5,1.5,Ford
X5,2019,49980,Semi-Auto,5041,Diesel,145,37.7,3,BMW
Focus,2019,15460,Manual,6810,Petrol,145,60.1,1,Ford
Karoq,2018,22490,Automatic,13260,Petrol,150,50.4,1.5,skoda
Polo,2016,11660,Manual,23359,Petrol,20,61.4,1.4,vw
A1,2013,10328,Automatic,49898,Petrol,125,53.3,1.4,audi
A4,2016,17702,Manual,22478,Diesel,30,67.3,2,audi
Fiesta,2019,13399,Manual,9829,Diesel,150,58.9,1.5,Ford
A4,2019,46450,Automatic,2000,Diesel,145,39.2,3,audi
Touareg,2017,24750,Semi-Auto,37840,Diesel,145,42.8,3,vw
Up,2018,8590,Manual,14001,Petrol,145,64.2,1,vw
A4,2020,43990,Semi-Auto,4250,Diesel,145,40.4,3,audi
Golf,2017,11700,Manual,25943,Diesel,145,70.6,1.6,vw
Kuga,2019,17991,Manual,151,Diesel,145,38.2,2,Ford
7 Series,2019,47890,Automatic,7414,Diesel,145,44.8,3,BMW
I10,2017,6695,Manual,9121,Petrol,20,60.1,1,Hyundai
4 Series,2017,17920,Manual,22956,Diesel,30,62.8,2,BMW
A3,2018,19995,Manual,17789,Petrol,145,54.3,1.5,audi
Karoq,2019,20995,Manual,3958,Diesel,145,47.1,2,skoda
Fiesta,2018,12990,Manual,11000,Diesel,145,58.9,1.5,Ford
3 Series,2017,19875,Semi-Auto,20000,Diesel,150,64.2,2,BMW
Octavia,2017,9990,Manual,36877,Diesel,0,74.3,1.6,skoda
Karoq,2019,20990,Manual,1543,Petrol,145,42.2,1,skoda
1 Series,2012,6990,Manual,58000,Diesel,30,62.8,2,BMW
Golf,2019,19691,Manual,5185,Petrol,145,47.1,1.5,vw
3 Series,2020,43990,Semi-Auto,2894,Petrol,150,33.6,3,BMW
I10,2015,6090,Manual,11166,Petrol,30,57.6,1.2,Hyundai
Tiguan,2016,20690,Semi-Auto,45820,Diesel,165,49.6,2,vw
Golf,2019,19691,Manual,9348,Petrol,145,47.1,1.5,vw
Auris,2016,15795,Automatic,27405,Hybrid,0,78.5,1.8,toyota
A4,2016,16050,Manual,25276,Diesel,30,67.3,2,audi
Aygo,2017,7491,Manual,28757,Petrol,145,68.9,1,toyota
Kodiaq,2017,25490,Automatic,35044,Petrol,145,38.2,2,skoda
Q2,2018,18990,Manual,8100,Petrol,150,52.3,1.4,audi
Yaris,2017,7998,Manual,63978,Petrol,150,56.5,1.5,toyota
Kuga,2018,14999,Manual,44934,Diesel,145,64.2,1.5,Ford
Golf SV,2016,13990,Semi-Auto,28890,Petrol,125,50.4,1.4,vw
Kuga,2018,15799,Manual,10586,Diesel,145,54.3,1.5,Ford
Q3,2016,19840,Semi-Auto,28965,Diesel,150,52.3,2,audi
Tiguan,2017,22872,Automatic,30709,Diesel,145,49.6,2,vw
A4,2016,23500,Semi-Auto,26270,Diesel,145,56.5,2,audi
Focus,2019,25520,Manual,6499,Petrol,145,34.5,2.3,Ford
Focus,2019,17490,Manual,12300,Petrol,145,60.1,1,Ford
Fiesta,2019,12000,Manual,12201,Petrol,145,56.5,1,Ford
Tucson,2017,13495,Semi-Auto,33164,Diesel,125,57.6,1.7,Hyundai
Up,2012,5990,Manual,7591,Petrol,20,62.8,1,vw
I30,2018,11498,Manual,11901,Petrol,145,56.5,1,Hyundai
Up,2019,8999,Manual,4309,Petrol,145,54.3,1,vw
X5,2019,47975,Semi-Auto,6413,Diesel,145,37.7,3,BMW
Fiesta,2018,9985,Manual,9228,Petrol,150,65.7,1,Ford
Tucson,2018,14990,Manual,12964,Petrol,150,44.8,1.6,Hyundai
A3,2019,22450,Manual,100,Diesel,145,55.4,2,audi
Kuga,2013,9999,Manual,67890,Diesel,145,53.3,2,Ford
Yaris,2018,10500,Manual,18595,Petrol,145,58.9,1.5,toyota
Kuga,2017,15000,Manual,12555,Diesel,145,60.1,2,Ford
C-HR,2017,15495,Manual,29557,Petrol,145,47.9,1.2,toyota
X1,2019,30850,Automatic,6300,Diesel,145,50.4,2,BMW
Tucson,2016,13475,Manual,27951,Diesel,145,54.3,2,Hyundai
Polo,2019,12995,Manual,11368,Petrol,150,48.7,1,vw
3 Series,2018,18690,Semi-Auto,29748,Diesel,145,60.1,2,BMW
Fiesta,2016,8640,Manual,17782,Petrol,125,54.3,1.2,Ford
Q2,2020,23000,Manual,2999,Petrol,145,45.6,1,audi
Kodiaq,2019,27990,Semi-Auto,3587,Petrol,145,36.7,1.5,skoda
3 Series,2016,15800,Automatic,16319,Diesel,30,64.2,2,BMW
Q5,2019,35950,Automatic,3003,Diesel,150,38.2,2,audi
Fiesta,2017,9795,Manual,22704,Petrol,145,64.2,1.1,Ford
I10,2015,5950,Manual,26280,Petrol,30,57.6,1.2,Hyundai
Mondeo,2019,19800,Manual,22,Diesel,145,65.7,2,Ford
2 Series,2020,23950,Semi-Auto,11,Petrol,145,50.4,1.5,BMW
A3,2018,18500,Manual,23611,Petrol,145,60.1,1,audi
Superb,2018,16495,Manual,50244,Diesel,150,64.2,2,skoda
Superb,2019,16090,Manual,13689,Petrol,145,40.9,1.5,skoda
Aygo,2017,7295,Manual,16044,Petrol,150,69,1,toyota
A4,2016,12499,Manual,31182,Petrol,125,53.3,1.4,audi
Polo,2017,11990,Semi-Auto,26971,Petrol,150,60.1,1.2,vw
Scirocco,2014,11490,Semi-Auto,56679,Diesel,145,50.4,2,vw
Auris,2017,17499,Automatic,23780,Hybrid,0,70.6,1.8,toyota
Fiesta,2015,8498,Semi-Auto,25081,Petrol,145,47.9,1.6,Ford
Kuga,2014,10895,Automatic,49701,Diesel,200,45.6,2,Ford
2 Series,2019,20875,Manual,5907,Petrol,145,42.2,1.5,BMW
T-Roc,2020,34995,Semi-Auto,2000,Petrol,150,32.5,2,vw
X3,2019,37900,Semi-Auto,7776,Diesel,150,48.7,3,BMW
A3,2015,12950,Automatic,29255,Diesel,30,62.8,2,audi
T-Roc,2018,23490,Manual,20500,Petrol,145,53.3,1.5,vw
Fiesta,2018,9890,Manual,28298,Petrol,145,65.7,1,Ford
Fiesta,2019,12475,Manual,6752,Petrol,145,55.4,1.1,Ford
C-MAX,2010,4977,Manual,71000,Petrol,200,42.8,1.6,Ford
Q3,2014,13490,Automatic,48000,Diesel,200,47.9,2,audi
Kona,2018,13498,Manual,6922,Petrol,145,44.1,1,Hyundai
Focus,2018,18838,Manual,13339,Diesel,145,67.3,2,Ford
Kuga,2016,15699,Manual,22705,Diesel,125,60.1,2,Ford
I10,2016,5995,Manual,38000,Petrol,20,60.1,1,Hyundai
4 Series,2019,22726,Automatic,9987,Diesel,145,65.7,2,BMW
X3,2019,31780,Semi-Auto,7281,Diesel,145,54.3,2,BMW
EcoSport,2018,12498,Manual,10222,Petrol,145,54.3,1,Ford
Passat,2019,24999,Automatic,6000,Diesel,145,49.6,2,vw
4 Series,2018,20990,Semi-Auto,26706,Diesel,150,58.9,2,BMW
Up,2018,7750,Manual,16500,Petrol,145,64.2,1,vw
Auris,2016,9288,Manual,39123,Petrol,30,58.9,1.2,toyota
Fiesta,2019,14499,Manual,12847,Petrol,145,55.4,1,Ford
Focus,2018,20499,Manual,18482,Petrol,145,41.5,2,Ford
Ka+,2017,7150,Manual,29383,Petrol,30,57.7,1.2,Ford
Golf,2019,24999,Semi-Auto,3000,Petrol,145,43.5,1.5,vw
5 Series,2016,19999,Automatic,22312,Diesel,160,51.4,3,BMW
Yaris,2017,9498,Manual,10696,Petrol,30,58,1.3,toyota
Golf,2018,20499,Semi-Auto,23537,Petrol,145,44.1,2,vw
A4,2020,36950,Automatic,3200,Diesel,145,45.6,2,audi
Fiesta,2016,9990,Manual,23730,Petrol,20,62.8,1,Ford
Kuga,2017,15999,Manual,25119,Diesel,125,60.1,2,Ford
A1,2018,18990,Semi-Auto,28660,Petrol,145,70.6,1.4,audi
X1,2019,28790,Semi-Auto,5628,Petrol,145,44.8,2,BMW
Q7,2019,46395,Automatic,6974,Diesel,145,32.8,3,audi
C-HR,2017,20000,Automatic,12771,Hybrid,0,74.3,1.8,toyota
Polo,2009,3999,Manual,67039,Petrol,145,48.7,1.2,vw
Tiguan,2019,28001,Semi-Auto,10236,Diesel,145,39.8,2,vw
